Part,Value,Device,Package
AAA1,AAA,Battery,AAABATTERYPLUSPIN
AAA2,AAA,Battery,AAABATTERYMINPIN
ACIN,W237-102,W237-102,con-wago-500
AMS1117,REG1117,REG1117,SOT223
AT24C-1,AT24C512C-SSHM,AT24C32SOIC8,SOIC8
AT24C-2,AT24C512C-SSHM,AT24C32SOIC8,SOIC8
ATSHA,ATSHA204A,ATSHA204A,SOT23-R
BAT,SJ,SJ,jumper
C1,10uF,CPOL-EUE2.5-5,"E2,5-5"
C2,100nF,C-EU025-025X050,C025-025X050
C3,100nF,C-EU025-025X050,C025-025X050
C4,100nF,C-EU025-025X050,C025-025X050
C5,100nF,C-EU025-025X050,C025-025X050
C6,18pF,C-EU025-025X050,C025-025X050
C7,18pF,C-EU025-025X050,C025-025X050
C8,100uF,CPOL-EUE3.5-8,"E3,5-8"
C9,10uF,CPOL-EUE2.5-5,"E2,5-5"
C10,100nF,C-EU025-025X050,C025-025X050
C11,100uF,CPOL-EUE3.5-8,"E3,5-8"
D1,1N4004,1N4004,DO41-10
D2,PINHD-1X3PTH,1X03,digital-toy
D3,PINHD-1X3PTH,1X03,digital-toy
D4,PINHD-1X3PTH,1X03,digital-toy
D5,PINHD-1X3PTH,1X03,digital-toy
D6,PINHD-1X3PTH,1X03,digital-toy
D7,PINHD-1X3PTH,1X03,digital-toy
FUSE,Slow Blow 250mA fuse,Glas fuse,
HLK-PM01,HLK-PM01,HLK-PM01,HLK-PM01
INT,SJ,SJ,jumper
JP2,PINHD-2X11,2X11,pinhead
LED,3mm,LED3MM,LED3MM
M2,WIRELESS-NRF24L01-PA-EXT,WIRELESS-NRF24L01-PA-EXT,WIRELESS-NRD24L01-PA-EXT
M3,WIRELESS-NRF24L01,WIRELESS-NRF24L01,WIRELESS-NRF24L01
PWR,HEADER1X2,HEADER1X2,HEADER1X2
PWR1,HEADER1X2,HEADER1X2,HEADER1X2
Q1,8/16MHz,CRYSTALHC49U-V,HC49U-V
R1,10K,R-EU_0207/7,0207/7
R2,4K7,R-EU_0207/7,0207/7
R3,4K7,R-EU_0207/7,0207/7
R4,220,R-EU_0207/7,0207/7
R5,56K,R-EU_0207/7,0207/7
RSCL,SJ,SJ,jumper
RSDA,SJ,SJ,jumper
SCL,JUMPER-PAD-3-NC_BY_TRACE,PAD-JUMPER-3-3OF3_NC_BY_TRACE_YES_SILK_FULL_BOX,
SDA,JUMPER-PAD-3-NC_BY_TRACE,PAD-JUMPER-3-3OF3_NC_BY_TRACE_YES_SILK_FULL_BOX,
SG053,SG053-SZ,SG053-SZ,SG053-SZ
SIM800,SIM800LV1,SIM800LV1,SIM800LV1
U1,ATMEGA328P_PDIP,ATMEGA328P_PDIP,DIL28-3
