Qty,Value,Device,Package,Parts,Description,MF,MPN,Aliexpress or ebay link
1,30 €,Gira Switch 3x,,,,,,http://www.ebay.com/itm/Gira-283120-Rocker-Switch-On-Off-3x-Gira-E22-BS-80-Stainless-Steel-/171918884854?hash=item280729fff6:g:6hYAAOSwMmBV6KD5
1,30€,1200 x 1200 x 12 mm Multiplex plank,,,,,,
4,8€,Aluminium Profile 2m,,,,,,
1,120 €,Starry Sky LED,,,,,,http://sternenhimmelshop.de/crbst_175.html
4,10 €,Ceiling Mounting (Carabine),,,,,,
3,1 €,IRLIZ44N MosFET,,,,,,http://www.ebay.com/itm/IRLIZ44N-IR-Transistor-TO-220-NOS-/370636176981?hash=item564ba33e55:m:mFvztc3yHdprvhhiJ-Xm_Ow
1,2.50 €,Arduino Nano,,,,,,http://www.ebay.com/itm/USB-Nano-V3-0-ATmega328-16M-5V-Micro-controller-CH340G-board-For-Arduino-/252085759152?hash=item3ab17b6cb0:g:KHwAAOSwKrhVXuBo
6,0.10 €,Resistors,,,,,,
1,1.00 €,NRF24L01+,,,,,,
2,40 €,LED Dimmable Strip (12 V),,,,,,http://www.amazon.de/Unterbauleuchte-Leuchtstoffr%C3%B6hre-Abstrahlwinkel-Schrankleuchten-Vitrinenbeleuchtung/dp/B00OHHQYJ8?ie=UTF8&psc=1&redirect=true&ref_=oh_aui_detailpage_o03_s00
10,1.20 €,LED G4 Bulbs 2 W (12 V),,,,,,http://www.amazon.de/led-TOPMAX-12V-Warmwei%C3%9F-Energiesparlampe/dp/B015J23LPE?ie=UTF8&psc=1&redirect=true&ref_=oh_aui_detailpage_o01_s00
1,35 €,LED Driver 12V / Transformer 200W,,,,,,http://www.amazon.de/Salcar-Stromversorgungen-%C3%BCberwachungskamera-Luftreiniger-Stromspanung/dp/B01AA83VHA?ie=UTF8&psc=1&redirect=true&ref_=oh_aui_detailpage_o02_s00
10,1 €,G4 Socket,,,,,,http://www.ebay.com/itm/12-MR11-MR16-GX5-3-G4-G8-Lamp-Bulb-Led-Wire-Socket-MR-/230405546174?hash=item35a53da0be:m:mjBl-XmyhlsaUj0-HU1WyJw
